样本索引,文本,标注标签,情感得分,是否噪声,噪声类型
34,虽然不值钱但是但是你们发货时还是把货物和包装盒固定好，收到坐脚的焊接点都掉了有啥用！,0.0,1,True,正向文本标负向
45,不保温，用起也不方便,0.0,1,True,正向文本标负向
48,穿过几次了不掉色，很修身的。就是有点贵。,1.0,-1,True,负向文本标正向
52,镜片太厚，同样度数比原来的镜片翻了一倍厚，镜片折光厉害，戴上感觉镜片四周有光圈围绕，左右不对称，戴上没几分钟眼睛就特别疲劳，店家还说多适应适应就好了，这比第一次戴上眼镜的时候还难适应好不！！！！,0.0,2,True,正向文本标负向
64,东西一到，打开包装看到里面的裤子，，好不犹豫马上甩掉，，很丑而且点都不好看   你们不信可以搞一下,0.0,1,True,正向文本标负向
67,不是正品，特干，不匀，不舒服，跟韩国买的一点都不一样！！不要买,0.0,1,True,正向文本标负向
69,拿到就是坏的一半的不亮了。。希望朋友们别再买这家的东西了，就一个字坑,1.0,-2,True,负向文本标正向
70,要求开发票，没给开，备注时告诉卖家是男士赠品注意颜色还是没有注意。鞋看着像是真的，总体购物体验很难说满意。,0.0,1,True,正向文本标负向
81,衣服款式还行～颜色跟图片上的不一样～发给我的货颜色太兰了～没这图片颜色好～衣服兜也太小了～,0.0,1,True,正向文本标负向
104,13年产呢，盒子有点坏了，不过用着感觉没有大问题就没换了。,1.0,-1,True,负向文本标正向
124,   收到货后，仔细观察发现，表盘内部有很多脏脏的指纹，还有看到别人的晒图中，盒子都封条贴好的，我收到的货没有封条，还有打开后说明书皮上也很脏，，客服帮忙解释一下原因。。。。,0.0,1,True,正向文本标负向
148,鞋子样子跟图片一样，就是走路不稳，鞋跟晃的，穿了一段时间大拇指下面都掉色了。走路时间长了很累，不满意！,0.0,1,True,正向文本标负向
169,穿着不舒服。。,0.0,1,True,正向文本标负向
174,介绍很好、把关很差，音质一般下、图像模糊、特别是4碟中有1碟明显是费品也夹在中间，发照片后沟通卖家，要求把费碟寄去，因为商家知道、几十元东西一般买家是不会化精力去退来换去搞、所以嘛：以后购物也不要迷信京东了，现在`京东林子大了，什么鸟照样也有，和其它网站也差不多，呵呵！,0.0,1,True,正向文本标负向
175,很糟糕吧 没有想得到打孔器的问题到现在还不能用 有点坑,1.0,-2,True,负向文本标正向
195,骗人没给我  坑人的,1.0,-1,True,负向文本标正向
208,呵呵 看看这奇葩造型 我tm真无语了 没见过这个吗奇葩的设计 居然旋转不了 谁设计的站出来 我要打死他 行 占点地方 支棱八翘的对付用我忍了 看看功能吧 插上 刚装上光盘驱动 xp系统下重启居然进不了系统 呵呵呵呵呵呵 呵呵 好 还有比这个还烂的么？,0.0,1,True,正向文本标负向
215,三免一买的质量真不咋的，没有前两套好，原价还比前两套要贵。除了外面那件红挂还满意其它都不满意。,0.0,3,True,正向文本标负向
223,不怎么好，调试太差了,0.0,1,True,正向文本标负向
231,油烟机和燃气灶品质都不错，客服也挺耐心，9月10日报装，隔了几日来了个老板级安装师傅，师傅工作利落、身不染尘、一习喝茶衣衫工具都不用带一只，凭借多年实体店安装经验，拆箱便郑重告之安装不了，刹有风度的拍了厨房照报志与他的上级，然后驾车而去。师傅健谈，住房结构、厨房空间也没能提供一处便利于师傅，很是抱歉。知国庆期间公司肯定很忙，便自借工具与朋友二人才给老妈装好，娱快的试过了一个假期。,0.0,1,True,正向文本标负向
258,不满意的一次购物，字布都不清楚，特价难道就是买质量有瑕疵的商品么,0.0,1,True,正向文本标负向
259,不怎样，放了热水明显外玻璃发烫，看来非真空，保温效果也不咋的，还有就是漏水，除非使劲拧紧盖子，这哪像英国品牌的产品，价格还奇贵，不推荐。失败的一次购物。,0.0,1,True,正向文本标负向
269,一点也不满意，我都退货有半个月了，也没有退款的消息。而且打电话关机，发消息不回。这家店怎么做生意的？,0.0,1,True,正向文本标负向
282,不太满意，单鞋不值这个价,0.0,1,True,正向文本标负向
286,最不满意的一次购物，还买了份送人。外壳严重压变形。里面的书连侧面连包都没有包浆。,0.0,1,True,正向文本标负向
306,还可以，就是物流太慢啦，物体还有一些损坏，不过还能用。不推换了，麻烦,1.0,-1,True,负向文本标正向
307,坚持穿还是有效果的，不过我还是觉得麻烦，后来没有使用了。,1.0,-1,True,负向文本标正向
319,好细啊，果然不是很好,0.0,1,True,正向文本标负向
328,用着很方便起坐板及钢架很结实耐用，缺点亚玲太小，拳击球是充气的太轻打着没感觉,0.0,2,True,正向文本标负向
354,还可以，就是质量不想像中好,0.0,1,True,正向文本标负向
358,一般般啦，价格不是很好,0.0,1,True,正向文本标负向
362,感觉有点贵了，用用看吧,1.0,-1,True,负向文本标正向
434,这个鞋穿起来不舒服 磨脚 质地太硬了,0.0,1,True,正向文本标负向
435,还凑合吧   弹性有点差,1.0,-1,True,负向文本标正向
441,东西很差劲，穿着很不舒服，还痒，洗一次脱一次色，客服的态度还拽的跟二百五一样，要求退货还直接不理人,0.0,1,True,正向文本标负向
445,买前想清楚，千万别买了不想要，好tm难退，客服直接不理你，不然就是一直推，不确定要就千万别买。,0.0,1,True,正向文本标负向
462,不是很好，颜色和照片上差异很大&hellip;,0.0,1,True,正向文本标负向
482,不错，打羽毛球挺好,0.0,1,True,正向文本标负向
484,好难吃。。。一股怪味,0.0,1,True,正向文本标负向
489,可以的  但是不实用,0.0,1,True,正向文本标负向
493,不是怎么好，给个两星吧,0.0,1,True,正向文本标负向
531,一般吧，穿上看上好别扭,0.0,1,True,正向文本标负向
555,虽然有点用，但价格太高（对本书而言）。最多值10来块钱，太不值了。该价格严重不推荐购买。,0.0,1,True,正向文本标负向
566,超难看，直桶的，而且还很大，完全不修身，穿着特别的不舒服，难看的要死，被照片欺骗了，以后再也不买这家店的了，慎重啊。,0.0,1,True,正向文本标负向
585,衣服刚收到，没想象中那么好，包装太次,0.0,1,True,正向文本标负向
620,一个人唱的，听得快睡着了，真心不推荐购买,0.0,1,True,正向文本标负向
634,不太满意，还有百分20电就关机，还黑屏,0.0,1,True,正向文本标负向
635,东西很一般的，京东配送人员服务态度好。,0.0,1,True,正向文本标负向
636,京东的货，应该是正版 记得有一次，我独自一人出来逛街。逛了大半天，什么也没有买到，不是东西不合适，就是价格太高，就在我准备两手空空打道回府的时候，无意中发现前方不远处有一个卖小百货的商店，走上前去一看，商店里面正挂着一些极其精致漂亮的背包，那时为了不至于两手空空回去，我总想凑合着买点东西，经过一番讨价还价，便商定了价格，付了钱之后，我正准备拿起我相中的背包离开的时候，无意中发现背包上有一根拉链坏了，于是我又重新挑选了一个，正要转身离开，那店主居然耍赖说我还没有付钱，硬拉着要我付钱，还说什么谁能证明你付了钱呢？没办法，我是自己一个人去的，旁边又没有其它顾客，谁能证明呢？天晓得。我辩不过她，只好愤愤不平地两手空空回去了。从那以后，我吃一堑，长一智，我就常常到网上购物了。好了，我现在来说说这本书的观感吧，一个人重要的是找到自己的腔调，不论说话还是写字。腔调一旦确立，就好比打架有了块趁手的板砖，怎么使怎么顺手，怎么拍怎么有劲，顺带着身体姿态也挥洒自如，打架简直成了舞蹈，兼有了美感和韵味。要论到写字，腔调甚至先于主题，它是一个人特有的形式，或者工具；不这么说，不这么写，就会别扭；工欲善其事，必先利其器，腔调有时候就是&ldquo;器&rdquo;，有时候又是&ldquo;事&rdquo;，对一篇文章或者一本书来说，器就是事，事就是器。这本书，的确是用他特有的腔调表达了对&ldquo;腔调&rdquo;本身的赞美。|好大一本书，是正版!各种不错!只是插图太多，有占篇符之嫌。故事很精彩，女儿很喜欢。书写的不错，能消除人的心瘾。目前已经戒烟第三天了，书拿到手挺有分量的，包装完好。还会继续来，一直就想买这本书，太谢谢京东了，发货神速，两天就到了，超给力的！5分！了解京东：2013年3月30日晚间，京东商城正式将原域名360buy更换为jd，并同步推出名为&ldquo;joy&rdquo;的吉祥物形象，其首页也进行了一定程度改版。此外，用户在输入jingdong域名后，网页也自动跳转至jd。对于更换域名，京东方面表示，相对于原域名360buy，新切换的域名jd更符合中国用户语言习惯，简洁明了，使全球消费者都可以方便快捷地访问京东。同时，作为&ldquo;京东&rdquo;二字的拼音首字母拼写，jd也更易于和京东品牌产生联想，有利于京东品牌形象的传播和提升。京东在进步，京东越做越大。||||好了，现在给大家介绍两本本好书：《谢谢你离开我》是张小娴在《想念》后时隔两年推出的新散文集。从拿到文稿到把它送到读者面前，几个月的时间，欣喜与不舍交杂。这是张小娴最美的散文。美在每个充满灵性的文字，美在细细道来的倾诉话语。美在作者书写时真实饱满的情绪，更美在打动人心的厚重情感。从装祯到设计前所未有的突破，每个精致跳动的文字，不再只是黑白配，而是有了鲜艳的色彩，首次全彩印刷，法国著名唯美派插画大师，亲绘插图。|两年的等待加最美的文字，就是你面前这本最值得期待的新作。《洗脑术：怎样有逻辑地说服他人》全球最高端隐秘的心理学课程，彻底改变你思维逻辑的头脑风暴。白宫智囊团、美国FBI、全球十大上市公司总裁都在秘密学习！当今世界最高明的思想控制与精神绑架，政治、宗教、信仰给我们的终极启示。全球最高端隐秘的心理学课程，一次彻底改变你思维逻辑的头脑风暴。从国家、宗教信仰的层面透析&ldquo;思维的真相&rdquo;,0.0,1,True,正向文本标负向
639,我只认定我所选的牌子，华三路由器突然变华为，个人认华为用新牌子抢眼，属于欺骗消费者，要不华三盗用华为品牌，此路由器视为不合格产品，不推荐够买。不评分不能提交，我想评0分。,0.0,1,True,正向文本标负向
675,一般。没有想象中的好，也不厚。,0.0,1,True,正向文本标负向
680,书很脏，就是对乔老爷说的话的一些解释，很简单，不推荐,0.0,1,True,正向文本标负向
692,不实用，外观较粗,0.0,1,True,正向文本标负向
696,发票明确让开，还是不开，好几次了。,0.0,1,True,正向文本标负向
697,东西跟图片不一样。。。不是铝包边的。。帮别人买的，，，很不满意。。实体店里只要30块就能买到。,0.0,1,True,正向文本标负向
700,产品的小毛病很多，没有卖家描述的那么好。电充满了后用不了2个小时就没有了，充电的时候那充电器烫的要命，感觉随时要爆炸的样子 。总之买了这货后悔了！！！！！！！！！！！！！！！！！！！,0.0,1,True,正向文本标负向
